Item Name,Category,Sub Category,Online_purchase,Instore_purchase,Central,East,North,South,West,Total Sales
Sn70130es,Oil & Masala,Spices,0,1,664,1423,,,,2087
Ba73079ts,Snacks,Noodles,0,1,2434,,,,,2434
Ba46898ns,Bakery,Biscuits,0,1,,,,589,,589
Fo93085ce,Bakery,Breads & Buns,1,0,,,,,527,527
Fr41358ts,Food Grains,Rice,0,1,,,,,1344,1344
Oi45344ee,Fruits & Veggies,Fresh Fruits,1,0,,1878,,,,1878
Oi8140as,Oil & Masala,Edible Oil & Ghee,0,1,,,,,678,678
Oi91167es,Oil & Masala,Masalas,1,0,,,,,1575,1575
Ba1988ts,Oil & Masala,Spices,0,1,,,,,1033,1033
Ba92663ns,Bakery,Biscuits,0,1,898,,,,,898
Ba42982es,Bakery,Breads & Buns,1,0,2539,1362,,,,3901
Be78647ks,Bakery,Cakes,0,1,,632,,,,632
Fo61337ce,Beverages,Health Drinks,0,1,,,,,3476,3476
Fr32554ts,Food Grains,Rice,0,1,,2010,,,,2010
Sn5501es,Fruits & Veggies,Organic Fruits,0,1,,1250,,,,1250
Sn53623es,Snacks,Cookies,1,0,,913,,,,913
Ba78736ts,Snacks,Noodles,0,1,,,,,2338,2338
Ba89359ns,Bakery,Biscuits,0,1,,,,,1604,1604
Be29120ks,Bakery,Breads & Buns,1,0,,,,,578,578
Eg17683gs,Beverages,Health Drinks,0,1,1480,,,,,1480
Eg40991sh,"Eggs, Meat & Fish",Eggs,0,1,1032,,,,,1032
Fo8505es,"Eggs, Meat & Fish",Fish,1,0,595,,,,,595
Oi35092as,Food Grains,Dals & Pulses,0,1,,1650,,,,1650
Sn49319es,Oil & Masala,Masalas,1,0,,,,1013,1681,2694
Ba1034ts,Snacks,Chocolates,0,1,,,,,873,873
Ba96809es,Bakery,Biscuits,1,0,,,,,885,885
Be55721ks,Bakery,Cakes,1,0,,,,1944,912,2856
Be78434ks,Beverages,Health Drinks,1,0,,,,,1389,1389
Eg38882sh,Beverages,Soft Drinks,0,1,,949,,,,949
Eg75303on,"Eggs, Meat & Fish",Fish,0,1,,,,,2387,2387
Fo29823ce,"Eggs, Meat & Fish",Mutton,0,1,,1169,,,,1169
Fr59378ts,Food Grains,Rice,0,1,1206,,,,,1206
Fr71278ts,Fruits & Veggies,Fresh Fruits,0,1,757,,,,,757
Oi82172ee,Fruits & Veggies,Organic Fruits,0,1,,,,,2094,2094
Oi51009as,Oil & Masala,Edible Oil & Ghee,1,0,,,,,868,868
Sn8789es,Oil & Masala,Masalas,1,0,,1530,,,,1530
Sn96368es,Snacks,Cookies,0,1,,1428,,,,1428
Ba42370ts,Snacks,Noodles,0,1,,,,,2399,2399
Ba37348ns,Bakery,Biscuits,0,1,,,,,1078,1078
Eg55857en,Bakery,Breads & Buns,1,0,774,,,,,774
Eg4033sh,"Eggs, Meat & Fish",Chicken,1,0,,1849,,,,1849
Fo41257es,"Eggs, Meat & Fish",Fish,1,0,1200,,,,,1200
Fo64912ce,Food Grains,Dals & Pulses,1,0,,1069,,,,1069
Fr52224ts,Food Grains,Rice,0,1,,,,,926,926
Fr31628es,Fruits & Veggies,Fresh Fruits,0,1,,1275,,,,1275
Fr2957es,Fruits & Veggies,Fresh Vegetables,0,1,1845,,,,,1845
Oi79079ee,Fruits & Veggies,Organic Vegetables,1,0,,,,,2341,2341
Oi57004as,Oil & Masala,Edible Oil & Ghee,1,0,1126,,,,,1126
Oi74339es,Oil & Masala,Masalas,0,1,695,,,,,695
Sn90660es,Oil & Masala,Spices,1,0,,2220,,,,2220
Be27119ks,Snacks,Chocolates,0,1,1773,563,,,,2336
Be27151ks,Beverages,Health Drinks,1,0,,,,,1313,1313
Eg81084sh,Beverages,Soft Drinks,1,0,,,,756,,756
Fo88115ce,"Eggs, Meat & Fish",Fish,0,1,,,,,3162,3162
Fr81342es,Food Grains,Rice,0,1,,,,1613,,1613
Fr50285ts,Fruits & Veggies,Fresh Vegetables,0,1,,,,1386,,1386
Fr3782es,Fruits & Veggies,Organic Fruits,1,0,,,,,1024,1024
Oi46855es,Fruits & Veggies,Organic Vegetables,0,1,,,,,2044,2044
Sn52966es,Oil & Masala,Spices,0,1,,1947,,,,1947
Be82252ks,Snacks,Cookies,0,1,,,,1844,1957,3801
Eg8260gs,Beverages,Soft Drinks,0,1,1880,,,,,1880
Eg62976sh,"Eggs, Meat & Fish",Eggs,1,0,,,,2125,,2125
Fo47811es,"Eggs, Meat & Fish",Fish,1,0,,1781,,,,1781
Fo70376es,Food Grains,Dals & Pulses,0,1,2494,,,,,2494
Fr43580ts,Food Grains,Organic Staples,0,1,1684,,,,,1684
Oi23488ee,Fruits & Veggies,Fresh Fruits,1,0,1442,,,,,1442
Oi67026as,Oil & Masala,Edible Oil & Ghee,0,1,,1397,,,1119,2516
Sn12992es,Oil & Masala,Masalas,1,0,,,,,976,976
Ba4764ns,Snacks,Noodles,0,1,2225,,,,,2225
Eg18938sh,Bakery,Breads & Buns,1,0,,,,,3095,3095
Fo51327es,"Eggs, Meat & Fish",Fish,0,1,,1833,,,,1833
Fo28412ce,Food Grains,Organic Staples,1,0,1778,,,,,1778
Fr97883ts,Food Grains,Rice,0,1,,,,,3467,3467
Fr66604es,Fruits & Veggies,Organic Fruits,0,1,,811,,,,811
Oi73770as,Fruits & Veggies,Organic Vegetables,0,1,,,,525,,525
Sn75646es,Oil & Masala,Masalas,1,0,2436,,,,,2436
Sn13199es,Snacks,Chocolates,1,0,,805,,,,805
Ba80190es,Snacks,Cookies,1,0,,1191,,2219,,3410
Be45616ks,Bakery,Cakes,0,1,,,,,681,681
Be45644ks,Beverages,Health Drinks,1,0,,,,,2862,2862
Eg20725sh,Beverages,Soft Drinks,1,0,,2376,,,,2376
Fo18116ur,"Eggs, Meat & Fish",Fish,1,0,1505,,,,,1505
Fo63743es,Food Grains,Atta & Flour,0,1,,840,,,,840
Fr24702ts,Food Grains,Dals & Pulses,0,1,,,,,3161,3161
Fr79151es,Fruits & Veggies,Organic Fruits,0,1,,2225,,,,2225
Oi35792as,Fruits & Veggies,Organic Vegetables,1,0,,968,,1834,,2802
Sn85271es,Oil & Masala,Masalas,0,1,,,,,2078,2078
Ba96087es,Snacks,Chocolates,1,0,,1261,,1073,,2334
Be95744ks,Bakery,Cakes,0,1,,,,,2157,2157
Be37823ks,Beverages,Health Drinks,1,0,963,,,,,963
Eg79239gs,Beverages,Soft Drinks,0,1,,,,2379,,2379
Fo81020ce,"Eggs, Meat & Fish",Eggs,0,1,,,,,2325,2325
Fr16226ts,Food Grains,Rice,0,1,,558,,,,558
Oi86573ee,Fruits & Veggies,Organic Fruits,1,0,,1010,,,1251,2261
Oi9329es,Oil & Masala,Edible Oil & Ghee,0,1,655,,,,1767,2422
Sn99391es,Oil & Masala,Spices,0,1,506,,,,,506
Be71256ks,Snacks,Cookies,0,1,,1109,,,2196,3305
Eg34289on,Beverages,Soft Drinks,0,1,2702,2469,,,713,5884
Fr96149es,"Eggs, Meat & Fish",Mutton,1,0,,,,,1864,1864
Oi5415es,Fruits & Veggies,Organic Vegetables,1,0,,,,,1243,1243
Sn23720es,Oil & Masala,Spices,1,0,,,,,2430,2430
Sn45181es,Snacks,Chocolates,0,1,,,,,3795,3795
Ba88521es,Snacks,Noodles,1,0,,,,1046,2471,3517
Be8791ks,Bakery,Biscuits,0,1,,,,,1819,1819
Be58711ks,Bakery,Cakes,1,0,,,,,732,732
Eg26861en,Beverages,Health Drinks,1,0,,,,800,,800
Oi32412ee,Beverages,Soft Drinks,0,1,,,,,2100,2100
Oi75403es,"Eggs, Meat & Fish",Chicken,1,0,,,,1291,,1291
Ba1962ts,Oil & Masala,Edible Oil & Ghee,1,0,,1597,,,,1597
Ba13739ns,Oil & Masala,Spices,1,0,2363,,,,,2363
Ba37584es,Bakery,Biscuits,0,1,,,,,668,668
Be83231ks,Bakery,Breads & Buns,1,0,,,,1774,,1774
Be77329ks,Bakery,Cakes,0,1,,1399,,,4302,5701
Fo38281es,Beverages,Health Drinks,0,1,,1549,,1035,,2584
Fo39956ce,Beverages,Soft Drinks,0,1,,1556,,,,1556
Fr31014ts,Food Grains,Dals & Pulses,1,0,,1515,,,1750,3265
Fr32796es,Food Grains,Rice,1,0,,1962,,,2138,4100
Oi71541as,Fruits & Veggies,Fresh Fruits,0,1,,,,1584,,1584
Sn77460es,Fruits & Veggies,Fresh Vegetables,1,0,,778,,1863,,2641
Ba6402es,Oil & Masala,Masalas,1,0,,774,,,,774
Be65513ks,Snacks,Chocolates,0,1,,618,,,,618
Eg46749on,Bakery,Cakes,1,0,,,,,1418,1418
Fo71864ur,Beverages,Health Drinks,1,0,,2170,,,,2170
Fo2791es,"Eggs, Meat & Fish",Mutton,1,0,1678,,,,,1678
Fo16278ce,Food Grains,Atta & Flour,0,1,,601,,,,601
Fr33408ts,Food Grains,Organic Staples,0,1,1642,,,,3622,5264
Fr52019ts,Food Grains,Rice,0,1,,,,,2335,2335
Oi17107as,Fruits & Veggies,Fresh Fruits,0,1,,,,,1063,1063
Sn44380es,Fruits & Veggies,Organic Fruits,1,0,,,,,1593,1593
Sn78714es,Oil & Masala,Masalas,1,0,,1593,,,,1593
Ba72067ts,Snacks,Chocolates,0,1,,1446,,871,,2317
Ba50841es,Snacks,Noodles,1,0,,621,,,,621
Be50378ks,Bakery,Biscuits,1,0,,,,,2084,2084
Be15402ks,Bakery,Cakes,0,1,,,,955,,955
Fo50312ur,Beverages,Health Drinks,0,1,2216,1137,,,1138,4491
Fr35867es,Beverages,Soft Drinks,0,1,,1117,,,,1117
Fr28045es,Food Grains,Atta & Flour,0,1,1442,1574,,,,3016
Oi45779ee,Fruits & Veggies,Fresh Vegetables,1,0,2430,2247,,,,4677
Oi973es,Fruits & Veggies,Organic Vegetables,1,0,,,,1844,,1844
Sn86207es,Oil & Masala,Edible Oil & Ghee,0,1,,,,,1807,1807
Ba2875ts,Oil & Masala,Spices,1,0,,,,,575,575
Ba28515ns,Snacks,Chocolates,1,0,,2480,,,,2480
Be20502ks,Bakery,Biscuits,1,0,,,,,1563,1563
Be441ks,Bakery,Breads & Buns,1,0,,,,1426,,1426
Eg6507gs,Beverages,Health Drinks,1,0,,,,,2786,2786
Fo62558es,Beverages,Soft Drinks,0,1,,,,,524,524
Fo85829ce,"Eggs, Meat & Fish",Eggs,0,1,,,,2475,,2475
Fr735es,Food Grains,Dals & Pulses,1,0,,1699,,,,1699
Fr59630es,Food Grains,Rice,1,0,1451,,,,,1451
Oi16318ee,Fruits & Veggies,Fresh Vegetables,1,0,,2474,,,,2474
Oi19073as,Fruits & Veggies,Organic Vegetables,1,0,,,,1077,,1077
Ba38459es,Oil & Masala,Edible Oil & Ghee,0,1,,2049,,,,2049
Be1098ks,Oil & Masala,Masalas,0,1,,1428,,,,1428
Eg73050en,Bakery,Cakes,0,1,,,,,1565,1565
Eg64419gs,Beverages,Health Drinks,1,0,,,,1284,,1284
Fr7395es,"Eggs, Meat & Fish",Chicken,0,1,,,,1881,,1881
Fr53616ts,"Eggs, Meat & Fish",Eggs,1,0,,2255,,2112,,4367
Oi96422as,Fruits & Veggies,Fresh Vegetables,1,0,,,,,1804,1804
Sn33068es,Fruits & Veggies,Organic Fruits,1,0,1168,1260,,,,2428
Ba6903ns,Oil & Masala,Masalas,1,0,,,,1299,,1299
Be8238ks,Snacks,Cookies,1,0,,,,1748,767,2515
Be49352ks,Bakery,Breads & Buns,0,1,2422,,,,,2422
Eg17925gs,Beverages,Health Drinks,1,0,,1650,,,,1650
Eg10660sh,Beverages,Soft Drinks,0,1,1457,,,,,1457
Fo16300ur,"Eggs, Meat & Fish",Eggs,0,1,1002,,,,1080,2082
Fr10699ts,"Eggs, Meat & Fish",Fish,1,0,,,,1480,,1480
Sn1591es,Food Grains,Atta & Flour,1,0,1698,,,,,1698
Sn48542es,Fruits & Veggies,Fresh Fruits,1,0,1129,,,,,1129
Ba52524ns,Snacks,Chocolates,1,0,,,,,513,513
Eg74523on,Snacks,Noodles,1,0,,,,1606,,1606
Fo73410ur,Bakery,Breads & Buns,1,0,,,,,1916,1916
Fr42643ts,"Eggs, Meat & Fish",Mutton,1,0,,564,,,,564
Oi13932as,Food Grains,Atta & Flour,1,0,,,,,1851,1851
Sn57959es,Fruits & Veggies,Fresh Fruits,1,0,,,,,2449,2449
Ba19619ts,Oil & Masala,Masalas,0,1,896,,,,,896
Ba21422ns,Snacks,Cookies,0,1,2004,1924,,,,3928
Be39107ks,Bakery,Biscuits,1,0,,,,1707,1656,3363
Eg95423on,Bakery,Breads & Buns,0,1,640,1171,,,,1811
Fr32700ts,Beverages,Soft Drinks,1,0,,1042,,,,1042
Oi76144ee,"Eggs, Meat & Fish",Mutton,0,1,,,,2477,1382,3859
Oi57002as,Fruits & Veggies,Organic Fruits,0,1,,,,,1920,1920
Sn66259es,Oil & Masala,Edible Oil & Ghee,0,1,1750,,,,,1750
Ba70237ts,Oil & Masala,Masalas,0,1,,,,,1796,1796
Ba41083es,Snacks,Chocolates,1,0,1451,,,,,1451
Be97881ks,Bakery,Biscuits,0,1,,747,,,,747
Be89193ks,Bakery,Cakes,0,1,736,587,,,,1323
Eg61866on,Beverages,Health Drinks,1,0,,,,2302,,2302
Fo67617es,Beverages,Soft Drinks,0,1,,,,,1790,1790
Fr1883ts,"Eggs, Meat & Fish",Mutton,1,0,,,,,698,698
Oi54954as,Food Grains,Dals & Pulses,0,1,,,,993,,993
Sn7361es,Fruits & Veggies,Fresh Fruits,0,1,2106,,,,,2106
Sn18459es,Oil & Masala,Masalas,1,0,784,,,,,784
Ba62912ts,Snacks,Cookies,0,1,1548,,,,,1548
Be35092ks,Snacks,Noodles,0,1,,,,,1787,1787
Fr57137es,Bakery,Biscuits,0,1,,1932,,,,1932
Fr67623ts,Beverages,Soft Drinks,0,1,,,,,1364,1364
Oi19147ee,Fruits & Veggies,Fresh Vegetables,0,1,,,,,1440,1440
Sn35174es,Fruits & Veggies,Organic Fruits,0,1,,979,,,1231,2210
Sn25062es,Oil & Masala,Edible Oil & Ghee,1,0,2412,,,,,2412
Be3738ks,Snacks,Chocolates,1,0,,,,,739,739
Be24569ks,Snacks,Noodles,0,1,2164,,,,,2164
Eg63563sh,Beverages,Health Drinks,1,0,,,,,1103,1103
Fo43261es,Beverages,Soft Drinks,0,1,,,,1768,,1768
Fr52374es,"Eggs, Meat & Fish",Fish,0,1,,2242,,,,2242
Fr45262es,Food Grains,Organic Staples,0,1,,,,,2305,2305
Oi10818ee,Fruits & Veggies,Fresh Vegetables,0,1,,,,1366,,1366
Oi32860es,Fruits & Veggies,Organic Vegetables,0,1,,2122,,,,2122
Sn71112es,Oil & Masala,Edible Oil & Ghee,1,0,,,,1333,,1333
Ba19901ts,Oil & Masala,Spices,0,1,,2298,,,2406,4704
Ba87755ns,Snacks,Chocolates,1,0,2261,,,,,2261
Ba70857es,Bakery,Biscuits,0,1,,,,,3259,3259
Eg39278gs,Bakery,Breads & Buns,1,0,1298,,,,,1298
Eg2495sh,Bakery,Cakes,0,1,,,,,4701,4701
Fo53031es,"Eggs, Meat & Fish",Eggs,1,0,,1339,,,,1339
Fr57936ts,"Eggs, Meat & Fish",Fish,0,1,,,,,525,525
Oi28616as,Food Grains,Organic Staples,0,1,,1620,,,,1620
Oi50672es,Fruits & Veggies,Organic Fruits,1,0,,1305,,,,1305
Sn66341es,Oil & Masala,Masalas,0,1,926,,,2419,2380,5725
Ba59636ts,Oil & Masala,Spices,0,1,,,,2368,,2368
Ba84713ns,Snacks,Cookies,1,0,,,,,4002,4002
Ba97522es,Bakery,Biscuits,0,1,,,,,1988,1988
Be46182ks,Bakery,Breads & Buns,0,1,1992,,,,,1992
Eg95565en,Bakery,Cakes,0,1,1770,,,,,1770
Eg50137gs,Beverages,Soft Drinks,1,0,,,,,2341,2341
Eg59154sh,"Eggs, Meat & Fish",Chicken,1,0,,1539,,,,1539
Fo38200ur,"Eggs, Meat & Fish",Eggs,0,1,1149,,,,,1149
Fo21089ce,"Eggs, Meat & Fish",Fish,1,0,,,,,2351,2351
Fr42234ts,Food Grains,Atta & Flour,0,1,,,,2306,,2306
Fr44485es,Food Grains,Rice,0,1,2108,,,,,2108
Fr18545es,Fruits & Veggies,Fresh Fruits,0,1,1851,,,,689,2540
Oi26521as,Fruits & Veggies,Fresh Vegetables,1,0,,,,,1361,1361
Sn2461es,Fruits & Veggies,Organic Vegetables,1,0,1357,,,,,1357
Ba83491es,Oil & Masala,Masalas,1,0,,,,,1902,1902
Be95878ks,Snacks,Chocolates,0,1,,,,2355,,2355
Eg13681sh,Bakery,Cakes,0,1,,1541,,,1872,3413
Fo1582es,Beverages,Health Drinks,1,0,,1020,,,,1020
Fr3745ts,"Eggs, Meat & Fish",Fish,1,0,,,,743,667,1410
Oi38231ee,Food Grains,Dals & Pulses,1,0,,,,1149,,1149
Oi51492as,Fruits & Veggies,Fresh Fruits,0,1,2398,,,,,2398
Oi33409es,Oil & Masala,Edible Oil & Ghee,1,0,,,,,501,501
Sn92500es,Oil & Masala,Masalas,1,0,,640,,,,640
Sn15533es,Oil & Masala,Spices,0,1,,1712,,,,1712
Ba14520ns,Snacks,Chocolates,0,1,793,,,,,793
Ba99452es,Snacks,Noodles,1,0,,2242,,1362,605,4209
Be44233ks,Bakery,Breads & Buns,1,0,918,,,,,918
Eg72631on,Bakery,Cakes,1,0,,,,1352,,1352
Fo98860ce,Beverages,Health Drinks,0,1,,,,,3500,3500
Oi55547as,"Eggs, Meat & Fish",Mutton,0,1,,,,2321,1171,3492
Oi28906es,Food Grains,Rice,0,1,,,,,2310,2310
Sn23216es,Oil & Masala,Masalas,0,1,,,,,2445,2445
Sn25584es,Oil & Masala,Spices,0,1,1056,,,,,1056
Sn32928es,Snacks,Chocolates,1,0,,1846,,,,1846
Ba10869ts,Snacks,Cookies,1,0,,,,932,,932
Be67520ks,Snacks,Noodles,0,1,,1775,,,,1775
Eg53699en,Bakery,Biscuits,0,1,,,,2223,,2223
Eg87291sh,Beverages,Soft Drinks,1,0,,,,,566,566
Fo10722es,"Eggs, Meat & Fish",Chicken,0,1,,2917,,,799,3716
Fo42342ce,"Eggs, Meat & Fish",Fish,1,0,,1617,,,,1617
Fr70778ts,Food Grains,Dals & Pulses,1,0,,,,,3148,3148
Fr11192ts,Food Grains,Rice,0,1,,,,,1865,1865
Fr4729es,Fruits & Veggies,Fresh Fruits,1,0,,,,,1470,1470
Oi48687ee,Fruits & Veggies,Organic Fruits,1,0,,,,,1982,1982
Sn66930es,Fruits & Veggies,Organic Vegetables,0,1,4070,,,,2470,6540
Sn34837es,Oil & Masala,Edible Oil & Ghee,1,0,,,,,1749,1749
Ba44292ts,Snacks,Cookies,0,1,,,,,2340,2340
Ba85160es,Snacks,Noodles,0,1,1142,,,,,1142
Be13013ks,Bakery,Biscuits,0,1,,,,1834,,1834
Be1281ks,Bakery,Cakes,1,0,,1753,,,,1753
Eg24781sh,Beverages,Health Drinks,0,1,,2178,,,943,3121
Fo81986ce,Beverages,Soft Drinks,1,0,2114,,,1579,,3693
Fr61290es,"Eggs, Meat & Fish",Fish,0,1,,2064,,,548,2612
Fr36575ts,Food Grains,Rice,1,0,,,,1931,,1931
Fr64104es,Fruits & Veggies,Fresh Vegetables,1,0,1054,,,,,1054
Sn4060es,Fruits & Veggies,Organic Fruits,1,0,,,,,2430,2430
Sn96057es,Fruits & Veggies,Organic Vegetables,0,1,1337,,,,,1337
Sn69842es,Snacks,Chocolates,0,1,1180,,,,,1180
Ba5534ns,Snacks,Cookies,1,0,,,,,2392,2392
Be75162ks,Snacks,Noodles,0,1,,,,,2058,2058
Eg11411en,Bakery,Breads & Buns,0,1,,,,,1417,1417
Eg63086gs,Beverages,Soft Drinks,1,0,,,,,1659,1659
Eg69372sh,"Eggs, Meat & Fish",Chicken,1,0,,1416,,,,1416
Fo21760ce,"Eggs, Meat & Fish",Eggs,0,1,,,,2210,,2210
Oi73280ee,"Eggs, Meat & Fish",Fish,1,0,,2203,,,,2203
Oi99365as,Food Grains,Rice,0,1,1211,,,,,1211
Sn22583es,Oil & Masala,Edible Oil & Ghee,0,1,1787,,,,,1787
Sn63057es,Oil & Masala,Masalas,0,1,,,,1619,,1619
Ba82403ts,Snacks,Chocolates,1,0,,2245,,,,2245
Be811ks,Snacks,Cookies,1,0,,,,1659,,1659
Be14512ks,Bakery,Biscuits,0,1,2363,,,,,2363
Eg96354sh,Beverages,Health Drinks,1,0,,1015,,,1501,2516
Eg6595on,Beverages,Soft Drinks,1,0,,,,,1984,1984
Oi24193as,"Eggs, Meat & Fish",Fish,0,1,,608,,,1448,2056
Oi27558es,"Eggs, Meat & Fish",Mutton,1,0,,,,,1758,1758
Sn39527es,Oil & Masala,Masalas,1,0,,1159,,,2404,3563
Ba38142ts,Oil & Masala,Spices,0,1,,2152,,,2048,4200
Ba8625ns,Snacks,Cookies,1,0,748,,,1291,,2039
Be26757ks,Bakery,Biscuits,1,0,,,,2264,,2264
Eg55371gs,Bakery,Breads & Buns,1,0,,,,534,,534
Fo71932ur,Beverages,Soft Drinks,0,1,1391,1960,,,,3351
Fr24722ts,"Eggs, Meat & Fish",Eggs,0,1,1265,,,1557,,2822
Fr73430es,Food Grains,Atta & Flour,0,1,,,,,762,762
Oi58034es,Fruits & Veggies,Fresh Fruits,1,0,1336,,,2451,,3787
Sn19003es,Fruits & Veggies,Organic Vegetables,0,1,,,,,2375,2375
Sn8463es,Oil & Masala,Spices,1,0,,,,2129,,2129
Ba7578es,Snacks,Chocolates,1,0,1467,,,,1190,2657
Be31496ks,Snacks,Noodles,0,1,,,,,4307,4307
Be29351ks,Bakery,Cakes,0,1,,,,,3789,3789
Eg85446gs,Beverages,Health Drinks,0,1,,,,,1296,1296
Fo43913es,Beverages,Soft Drinks,0,1,2267,,,,2208,4475
Fo82198ce,"Eggs, Meat & Fish",Eggs,0,1,,2230,,1862,,4092
Fr51381es,Food Grains,Dals & Pulses,0,1,,,,2385,,2385
Ba12424ts,Food Grains,Rice,1,0,,2282,,,,2282
Be74847ks,Fruits & Veggies,Organic Vegetables,1,0,,,,,1094,1094
Be97880ks,Bakery,Biscuits,1,0,1344,,,,,1344
Eg24934en,Beverages,Health Drinks,0,1,,,,749,,749
Fo89144es,Beverages,Soft Drinks,0,1,,,,2397,,2397
Fr75412es,"Eggs, Meat & Fish",Chicken,1,0,,2173,,,,2173
Fr5819es,Food Grains,Dals & Pulses,0,1,,,,,2484,2484
Oi63164ee,Fruits & Veggies,Fresh Vegetables,1,0,,2014,,,,2014
Oi37297as,Fruits & Veggies,Organic Vegetables,1,0,,1951,,,,1951
Eg40587en,Oil & Masala,Edible Oil & Ghee,1,0,,,,527,,527
Eg32615sh,Oil & Masala,Masalas,0,1,,,,,1093,1093
Fo80870ur,"Eggs, Meat & Fish",Chicken,1,0,1471,,,,1347,2818
Fo73273es,"Eggs, Meat & Fish",Fish,1,0,2444,,,,,2444
Fo25096es,Food Grains,Atta & Flour,0,1,1247,,,,,1247
Oi43079as,Food Grains,Dals & Pulses,1,0,,929,,,,929
Ba52573ts,Food Grains,Organic Staples,1,0,,884,,,,884
Ba59871es,Oil & Masala,Masalas,0,1,2316,,,,1020,3336
Be17896ks,Bakery,Biscuits,1,0,,,,,2181,2181
Eg62517en,Bakery,Cakes,1,0,,,,,920,920
Eg70922sh,Beverages,Health Drinks,0,1,,1259,,,,1259
Eg2715on,"Eggs, Meat & Fish",Chicken,1,0,1785,,,,,1785
Fo22749ur,"Eggs, Meat & Fish",Fish,0,1,,,,,1285,1285
Fo66134es,"Eggs, Meat & Fish",Mutton,0,1,,2224,,,,2224
Fr42672es,Food Grains,Atta & Flour,1,0,,,,,2398,2398
Oi79587ee,Food Grains,Dals & Pulses,0,1,,1487,,,,1487
Oi71172as,Fruits & Veggies,Fresh Vegetables,0,1,1229,2332,,,,3561
Sn45618es,Oil & Masala,Edible Oil & Ghee,1,0,,,,1585,,1585
Sn632es,Oil & Masala,Masalas,0,1,,,,1664,,1664
Ba79294ts,Snacks,Chocolates,0,1,2431,,,1304,,3735
Be18501ks,Snacks,Cookies,0,1,705,,,,,705
Be30086ks,Bakery,Biscuits,1,0,1937,2282,,,1496,5715
Eg78408en,Beverages,Health Drinks,1,0,2246,,,,,2246
Fo96104ce,Beverages,Soft Drinks,0,1,,,,,1714,1714
Fr15361ts,"Eggs, Meat & Fish",Chicken,1,0,,,,,4510,4510
Fr64503es,Food Grains,Rice,1,0,,1816,,,1756,3572
Oi78882ee,Fruits & Veggies,Fresh Fruits,0,1,,2337,,,,2337
Oi37683es,Fruits & Veggies,Organic Vegetables,1,0,,2412,,,,2412
Sn65013es,Oil & Masala,Edible Oil & Ghee,0,1,,,,,2229,2229
Sn68364es,Oil & Masala,Spices,1,0,,,,,1219,1219
Ba17240ns,Snacks,Chocolates,0,1,,,,,1419,1419
Ba7559es,Snacks,Noodles,1,0,,,,2447,979,3426
Be2032ks,Bakery,Breads & Buns,1,0,2111,,,,,2111
Be40032ks,Bakery,Cakes,1,0,,2131,,,,2131
Eg89440en,Beverages,Health Drinks,0,1,2079,,,,,2079
Fr74453ts,Beverages,Soft Drinks,0,1,,,,1117,,1117
Oi23981es,"Eggs, Meat & Fish",Chicken,1,0,,,,785,,785
Ba72603ts,Fruits & Veggies,Fresh Fruits,0,1,,,,,1610,1610
Ba69184es,Oil & Masala,Spices,0,1,,599,,,,599
Be26519ks,Bakery,Biscuits,1,0,,,,2285,,2285
Be45007ks,Bakery,Cakes,1,0,995,,,,,995
Eg87296en,Beverages,Health Drinks,1,0,1637,526,,,3660,5823
Fr11350ts,Beverages,Soft Drinks,1,0,,1388,,,,1388
Oi73378ee,"Eggs, Meat & Fish",Chicken,0,1,,860,,,,860
Sn97299es,Fruits & Veggies,Fresh Fruits,1,0,,710,,,,710
Sn56831es,Oil & Masala,Edible Oil & Ghee,1,0,533,,,,,533
Be44696ks,Snacks,Cookies,1,0,,,,2295,,2295
Fo90707ce,Snacks,Noodles,1,0,1835,,,,,1835
Fr78790ts,Beverages,Health Drinks,0,1,615,,,,,615
Fr21867ts,Food Grains,Rice,1,0,,1597,,,,1597
Oi60064ee,Fruits & Veggies,Fresh Fruits,1,0,,,,2019,,2019
Oi68008as,Fruits & Veggies,Organic Fruits,1,0,,,,1825,,1825
Sn63627es,Oil & Masala,Edible Oil & Ghee,0,1,,,,1545,,1545
Sn61753es,Oil & Masala,Masalas,1,0,,,,,2425,2425
Ba92452ns,Snacks,Cookies,1,0,,,,1916,,1916
Be18218ks,Snacks,Noodles,0,1,,,,666,,666
Eg12049sh,Bakery,Breads & Buns,1,0,,,,960,,960
Fo45238ur,Beverages,Soft Drinks,1,0,,,,,1397,1397
Fo52879es,"Eggs, Meat & Fish",Fish,0,1,,,,,1099,1099
Fr74635ts,Food Grains,Atta & Flour,0,1,,558,,,,558
Fr80256es,Food Grains,Organic Staples,1,0,,,,2231,,2231
Fr66070ts,Fruits & Veggies,Fresh Fruits,0,1,,,,,969,969
Oi56894es,Fruits & Veggies,Fresh Vegetables,1,0,,1603,,,,1603
Sn24825es,Fruits & Veggies,Organic Fruits,1,0,,,,,843,843
Ba97935ts,Oil & Masala,Spices,0,1,1566,,,,,1566
Ba93094ns,Snacks,Noodles,1,0,,2272,,1842,,4114
Be80133ks,Bakery,Biscuits,0,1,,,,,3464,3464
Be79316ks,Bakery,Breads & Buns,1,0,,2109,,,771,2880
Fr78735ts,Beverages,Health Drinks,0,1,,,,,1755,1755
Oi26076as,Beverages,Soft Drinks,1,0,,1985,,2725,,4710
Oi14712es,Fruits & Veggies,Fresh Fruits,0,1,,1382,,,,1382
Sn56489es,Oil & Masala,Masalas,0,1,,1666,,,1366,3032
